  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
  89.5   -155.4     18.28 0.175         0.0      0.0      0.0   5919         
  86.1   -155.6     18.06 0.173         0.0      0.0      0.0   5942         
  82.1   -155.9     17.80 0.171         0.0      0.0      0.0   5964         
  78.4   -155.5     18.18 0.174         0.0      0.0      0.0   5988         
  74.8   -155.6     18.14 0.174         0.0      0.0      0.0   6010         
  71.6   -155.7     18.08 0.173         0.0      0.0      0.0   6033         
  68.2   -155.4     18.43 0.177         0.0      0.0      0.0   6056         
  64.9   -155.6     18.23 0.175         0.0      0.0      0.0   6079         
  61.7   -155.7     18.12 0.174         0.0      0.0      0.0   6101         
  58.9   -155.9     17.91 0.172         0.0      0.0      0.0   6124         
  56.0   -155.6     18.20 0.174         0.0      0.0      0.0   6147         
  53.1   -155.7     18.13 0.174         0.0      0.0      0.0   6170         
  50.5   -155.7     18.05 0.173         0.0      0.0      0.0   6193         
  48.5   -155.8     17.98 0.172         0.0      0.0      0.0   6216         
  46.1   -155.7     18.08 0.173         0.0      0.0      0.0   6238         
  44.0   -155.8     17.98 0.172         0.0      0.0      0.0   6261         
  42.0   -155.6     18.18 0.174         0.0      0.0      0.0   6284         
  40.4   -154.6     19.18 0.184         0.0      0.0      0.0   6307         
  39.1   -155.7     18.08 0.173         0.0      0.0      0.0   6330         
