  TEMP    TSUSC     CSUSC	 NSUSC       BULKS    FERRT    FERRB   TIME  jrpsept
 198.5   -129.1     47.46	 0.354         0.0      0.0      0.0   5596         
 193.4   -129.6     46.93	 0.350         0.0      0.0      0.0   5619         
 187.9   -129.7     46.78	 0.349         0.0      0.0      0.0   5642         
 182.8   -129.9     46.54	 0.347         0.0      0.0      0.0   5665         
 177.7   -130.0     46.46	 0.346         0.0      0.0      0.0   5688         
 173.1   -130.4     46.03	 0.343         0.0      0.0      0.0   5710         
 168.5   -130.2     46.27	 0.345         0.0      0.0      0.0   5733         
 163.9   -130.2     46.29	 0.345         0.0      0.0      0.0   5756         
 159.6   -130.6     45.88	 0.342         0.0      0.0      0.0   5779         
 155.1   -131.2     45.28	 0.338         0.0      0.0      0.0   5802         
 150.5   -130.7     45.76	 0.341         0.0      0.0      0.0   5825         
 145.7   -130.8     45.66	 0.341         0.0      0.0      0.0   5847         
 140.6   -131.0     45.41	 0.339         0.0      0.0      0.0   5870         
 135.8   -131.1     45.29	 0.338         0.0      0.0      0.0   5893         
 130.5   -131.3     45.10	 0.336         0.0      0.0      0.0   5915         
 125.7   -131.6     44.80	 0.334         0.0      0.0      0.0   5938         
 120.6   -131.7     44.64	 0.333         0.0      0.0      0.0   5961         
 116.1   -131.6     44.73	 0.334         0.0      0.0      0.0   5984         
 111.4   -131.7     44.64	 0.333         0.0      0.0      0.0   6007         
 107.4   -131.9     44.42	 0.331         0.0      0.0      0.0   6029         
 103.2   -132.2     44.17	 0.329         0.0      0.0      0.0   6052         
  99.2   -132.3     44.00	 0.328         0.0      0.0      0.0   6075         
  95.0   -132.2     44.10	 0.329         0.0      0.0      0.0   6098         
  90.8   -132.6     43.72	 0.326         0.0      0.0      0.0   6121         
  87.1   -132.2     44.16	 0.329         0.0      0.0      0.0   6144         
  83.2   -132.9     43.38	 0.323         0.0      0.0      0.0   6166         
  79.2   -132.9     43.42	 0.324         0.0      0.0      0.0   6189         
  75.8   -132.7     43.66	 0.326         0.0      0.0      0.0   6212         
  72.2   -133.2     43.16	 0.322         0.0      0.0      0.0   6235         
  68.8   -133.1     43.20	 0.322         0.0      0.0      0.0   6258         
  65.6   -133.3     42.95	 0.320         0.0      0.0      0.0   6280         
  62.0   -133.5     42.89	 0.320         0.0      0.0      0.0   6303         
  58.9   -133.4     43.01	 0.321         0.0      0.0      0.0   6326         
  55.7   -133.5     42.85	 0.320         0.0      0.0      0.0   6350         
  52.9   -133.4     42.96	 0.320         0.0      0.0      0.0   6372         
  50.0   -133.7     42.63	 0.318         0.0      0.0      0.0   6395         
	
