  TEMP    TSUSC     CSUSC NSUSC       BULKS    FERRT    FERRB   TIME   jrpnew
 636.7    -75.7     99.97 0.369         0.0      0.0      0.0   3491         
 632.3    -74.5    101.10 0.373         0.0      0.0      0.0   3514         
 628.2    -73.0    102.60 0.379         0.0      0.0      0.0   3537         
 623.8    -71.9    103.66 0.383         0.0      0.0      0.0   3560         
 620.0    -70.8    104.76 0.387         0.0      0.0      0.0   3583         
 615.9    -69.2    106.26 0.392         0.0      0.0      0.0   3606         
 611.3    -69.0    106.42 0.393         0.0      0.0      0.0   3629         
 606.6    -67.3    108.07 0.399         0.0      0.0      0.0   3652         
 602.2    -66.2    109.23 0.403         0.0      0.0      0.0   3675         
 597.2    -65.7    109.59 0.405         0.0      0.0      0.0   3698         
 592.9    -64.2    111.04 0.410         0.0      0.0      0.0   3721         
 588.5    -63.1    112.11 0.414         0.0      0.0      0.0   3743         
 584.8    -62.2    112.99 0.417         0.0      0.0      0.0   3766         
 580.2    -61.3    113.89 0.421         0.0      0.0      0.0   3789         
 575.2    -59.9    115.25 0.426         0.0      0.0      0.0   3812         
 570.0    -58.9    116.15 0.429         0.0      0.0      0.0   3835         
 565.1    -57.1    118.03 0.436         0.0      0.0      0.0   3858         
 560.1    -55.8    119.22 0.440         0.0      0.0      0.0   3881         
 554.9    -53.9    121.11 0.447         0.0      0.0      0.0   3905         
 549.7    -51.6    123.36 0.456         0.0      0.0      0.0   3927         
 544.2    -48.6    126.30 0.466         0.0      0.0      0.0   3950         
 538.4    -45.0    129.88 0.480         0.0      0.0      0.0   3972         
 533.3    -40.8    133.98 0.495         0.0      0.0      0.0   3995         
 528.1    -36.0    138.82 0.513         0.0      0.0      0.0   4018         
 523.9    -30.5    144.26 0.533         0.0      0.0      0.0   4040         
 518.4    -25.0    149.75 0.553         0.0      0.0      0.0   4063         
 513.3    -16.8    157.91 0.583         0.0      0.0      0.0   4086         
 508.1     -7.9    166.73 0.616         0.0      0.0      0.0   4109         
 502.7      2.2    176.85 0.653         0.0      0.0      0.0   4132         
 497.6     12.6    187.22 0.691         0.0      0.0      0.0   4155         
 492.8     21.8    196.43 0.725         0.0      0.0      0.0   4178         
 488.3     30.6    205.22 0.758         0.0      0.0      0.0   4201         
 483.5     39.9    214.51 0.792         0.0      0.0      0.0   4224         
 478.2     49.5    224.05 0.827         0.0      0.0      0.0   4246         
 473.1     58.3    232.84 0.860         0.0      0.0      0.0   4269         
 468.0     67.1    241.66 0.892         0.0      0.0      0.0   4292         
 463.0     75.4    249.92 0.923         0.0      0.0      0.0   4315         
 458.0     82.9    257.43 0.951         0.0      0.0      0.0   4338         
 452.3     89.4    263.89 0.975         0.0      0.0      0.0   4361         
 446.7     94.4    268.92 0.993         0.0      0.0      0.0   4384         
 441.4     96.3    270.79 1.000         0.0      0.0      0.0   4406         
 436.1     95.4    269.92 0.997         0.0      0.0      0.0   4429         
 431.7     94.1    268.70 0.992         0.0      0.0      0.0   4452         
 427.3     92.6    267.18 0.987         0.0      0.0      0.0   4475         
 422.3     91.0    265.59 0.981         0.0      0.0      0.0   4498         
 417.7     88.9    263.48 0.973         0.0      0.0      0.0   4521         
 412.7     87.1    261.61 0.966         0.0      0.0      0.0   4544         
 407.7     85.3    259.87 0.960         0.0      0.0      0.0   4567         
 403.1     83.3    257.81 0.952         0.0      0.0      0.0   4589         
 398.2     81.9    256.38 0.947         0.0      0.0      0.0   4612         
 393.2     79.9    254.38 0.939         0.0      0.0      0.0   4635         
 387.7     78.4    252.84 0.934         0.0      0.0      0.0   4658         
 382.5     76.3    250.72 0.926         0.0      0.0      0.0   4681         
 377.3     75.2    249.61 0.922         0.0      0.0      0.0   4703         
 371.9     73.2    247.57 0.914         0.0      0.0      0.0   4726         
 366.7     71.3    245.66 0.907         0.0      0.0      0.0   4749         
